word,meaning,example
however,"adv. 无论如何；不管怎样（接副词或形容词）；然而；可是,conj. 无论以何种方式; 不管怎样",
june,n. 六月；琼（女名）,
october,n. [天] 十月,
november,n. 十一月,
market,"n. 市场；行情；股票市场；市面；集市；销路；商店,vt. 在市场上出售,vi. 做买卖,n. (Market)人名；(塞)马尔凯特",
library,n. 图书馆，藏书室；文库,
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）,
action,"n. 行动；活动；功能；战斗；情节,n. (Action)人名；(英)埃克申",
start,"vt. 开始；启动,vi. 出发,n. 开始；起点",
series,n. 系列，连续；[电] 串联；级数；丛书,
model,"n. 模型；典型；模范；模特儿；样式,vt. 模拟；塑造；模仿,vi. 做模型；做模特儿,adj. 模范的；作模型用的,n. (Model)人名；(德、俄、英)莫德尔",
features,"n. 产品特点，特征；容貌；嘴脸（feature的复数）,v. 是…的特色，使突出（feature的第三人称单数）",
air,"n. 空气，大气；天空；样子；曲调,vt. 使通风，晾干；夸耀,vi. 通风",
industry,n. 产业；工业；勤勉,
plan,"n. 计划；平面图,vt. 计划；设计；打算,vi. 计划；打算,n. (Plan)人名；(瑞典)普兰；(法)普朗",
human,"adj. 人的；人类的,n. 人；人类,n. (Human)人名；(英)休曼",
provided,"conj. 假如；倘若,v. 提供；给予（provide的过去式）",
tv,abbr. 电视（television）,
yes,"adv. 是, 是的,n. 是（表示肯定）",
required,"adj. 必需的；（美）必修的,v. 需要（require的过去式及过去分词形式）；要求",
second,"n. 秒；第二名；瞬间；二等品,vt. 支持,adj. 第二的；次要的；附加的,num. 第二,adv. 第二；其次；居第二位,n. (Second)人名；(法)塞孔",
hot,"adj. 热的；辣的；热情的；激动的；紧迫的,adv. 热；紧迫地,vi. 变热,vt. 增加；给…加温,n. (Hot)人名；(塞)霍特；(法)奥特",
cost,"vt. 花费；使付出；使花许多钱；估价，估算成本,vi. 花费,n. 费用，代价，成本；损失",
movie,"n. 电影；电影院；电影业,adj. 电影的",
march,"vi. （坚定地向某地）前进；行军，进军；游行示威；进展，进行,vt. 使前进；使行军,n. 行进，前进；行军；游行示威；进行曲",
la,"n. 全音阶中的第6个音；A音的唱名,n. (La)人名；(中)辣(广东话·威妥玛)；(越)罗；(朝)罗；(缅、老)拉",
september,n. 九月,
better,"n. 长辈；较好者；打赌的人（等于bettor）,adv. 更好的；更多的；较大程度地,adj. 较好的,vt. 改善；胜过,vi. 变得较好,n. (Better)人名；(西、瑞典、德)贝特尔",
say,"vt. 讲；说明；例如；声称；假设；指明,vi. 讲；表示；念；假定；背诵,,n. (Say)人名；(土)萨伊；(法、老、柬)赛；(英)塞伊；(匈、罗)绍伊",
questions,"n. [数] 问题（question的复数）,v. 质疑（question的第三人称单数形式）",
july,n. 七月,
going,"n. 行为；离去；工作情况；地面状况,adj. 流行的；进行中的；现存的,v. 前进；出发；运转（go的ing形式）,n. (Going)人名；(英)戈因",
medical,"adj. 医学的；药的；内科的,n. 医生；体格检查",
test,"n. 试验；检验,vt. 试验；测试,vi. 试验；测试,n. (Test)人名；(英)特斯特",
friend,"n. 朋友；助手；赞助者,n. (Friend)人名；(英)弗兰德",
come,"vi. 来；开始；出现；发生；变成；到达,vt. 做；假装；将满（…岁）,int. 嗨！,n. (Come)人名；(英)科姆；(阿尔巴)乔梅",
dec,abbr. 数位计算设备公司（Digital Equipment Corporation）；数字设备公司（Data Equipment Company）；直接能量转换（Direct Energy Conversion）,
server,"n. 发球员；服伺者；服勤者；伺候者,n. (Server)人名；(土)塞尔韦尔",
study,"n. 学习，研究；课题；书房；学问,vt. 学习；考虑；攻读；细察,vi. 研究；用功,n. (Study)人名；(英)斯塔迪",
application,n. 应用；申请；应用程序；敷用；（对事物、学习等）投入,
cart,"n. 二轮运货马车,vt. 用车装载,vi. 驾运货马车；用运货车运送,n. (Cart)人名；(法)卡尔；(英、芬)卡特",
staff,"n. 职员；参谋；棒；支撑,adj. 职员的；行政工作的,vt. 供给人员；给…配备职员,vi. 雇用工作人员,n. (Staff)人名；(德、匈)施塔夫；(瑞典、英)斯塔夫",
articles,"n. [语] 文章；物品；[法] 条款（article的复数）；[语] 冠词,v. 使受协议条款的约束；指控（article的三单形式）",
feedback,n. 反馈；成果，资料；回复,
again,"adv. 又，此外；再一次；再说；增加,n. （英、保）阿盖恩",
play,"vt. 游戏；扮演；演奏；播放；同…比赛,vi. 演奏；玩耍；上演；参加比赛,n. 游戏；比赛；剧本,n. (Play)人名；(法、瑞典)普莱",
looking,adj. 有…相貌的；有…样子的,
issues,"n. 议题，问题；债券（issue的复数）；争点,v. 发行（issue的第三人称单数）；分发；流出",
april,n. 四月,
never,adv. 从未；决不,
users,n. 使用者；受限用户（user的复数）,
complete,"adj. 完整的；完全的；彻底的,vt. 完成",
street,"n. 街道,adj. 街道的,n. (Street)人名；(英、葡)斯特里特；(德)施特雷特",
topic,n. 主题（等于theme）；题目；一般规则；总论,
comment,"n. 评论；意见；批评；描述,vt. 发表评论；发表意见,vi. 为…作评语,n. (Comment)人名；(德)科门特；(法)科芒",
financial,adj. 金融的；财政的，财务的,
things,n. 事物（thing的复数形式）；用品；形势,
working,"adj. 工作的；操作的；可行的,n. 工作；活动；制作；操纵,v. 工作；影响；受雇用（work的ing形式）,n. (Working)人名；(英)沃金",
against,"prep. 反对，违反；靠；倚；防备,adj. 不利的；对立的",
standard,"n. 标准；水准；旗；度量衡标准,adj. 标准的；合规格的；公认为优秀的,n. (Standard)人名；(英)斯坦达德；(德)施坦达德",
tax,"vt. 向…课税；使负重担,n. 税金；重负,n. (Tax)人名；(英、匈、捷)塔克斯",
person,"n. 人；身体；容貌，外表；人称,n. (Person)人名；(法、俄、德)佩尔松；(瑞典)佩尔松；(英)珀森",
below,"adv. 在下面，在较低处；在本页下面,prep. 在…下面,n. (Below)人名；(英、德、芬、瑞典)贝洛",
mobile,"adj. 可移动的；机动的；易变的；非固定的,n. 移动电话",
less,"adv. 较少地；较小地；更小地,adj. 较少的；较小的,prep. 减去,n. 较少；较小,n. (Less)人名；(德、意、匈、芬)莱斯",
got,"v. 得到，明白（get的过去式和过去分词）,n. (Got)人名；(法)戈；(西、匈、瑞典)戈特",
blog,n. 博客；部落格；网络日志,
party,"n. 政党，党派；聚会，派对；当事人 [复数 parties],vi. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ]",
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应,
equipment,n. 设备，装备；器材,
login,"n. [计] 进入系统,vt. [计] 登录；注册,vi. [计] 登录；注册,n. (Login)人名；(英、俄、匈、罗)洛金",
student,"n. 学生；学者,n. (Student)人名；(德)施图登特",
let,"vt. 允许，让；出租；假设；妨碍,vi. 出租；被承包,n. 障碍；出租屋,n. (Let)人名；(缅)莱；(俄)莱特",
programs,"n. [计] 程序，程序集；所有程式（program的复数）,v. 规划（program的第三人称单数）；为…提供生物程序",
legal,"adj. 法律的；合法的；法定的；依照法律的,n. (Legal)人名；(法)勒加尔",
above,"prep. 超过；在……上面；在……之上,adv. 在上面；在上文,adj. 上文的,n. 上文",
recent,adj. 最近的；近代的,
park,"n. 公园；[交] 停车场,vt. 停放；放置；寄存,vi. 停放车辆,n. (Park)人名；(英、芬、瑞典)帕克",
side,"n. 方面；侧面；旁边,vi. 支持；赞助；偏袒,adj. 旁的，侧的,vt. 同意，支持,n. (Side)人名；(英)赛德",
act,"n. 行为，行动；法案，法令；假装；（戏剧，歌剧等）一幕,v. 做事，行动；假装；扮演（戏剧，电影中的角色）；充当，起作用；对…有影响,n. (ACT)美国大学入学考试，全称是American College Testing",
problem,"n. 难题；引起麻烦的人,adj. 成问题的；难处理的",
red,"n. 红色，红颜料；赤字,adj. 红色的；红肿的，充血的,n. (Red)人名；(英、德)雷德",
give,"vt. 给；产生；让步；举办；授予,n. 弹性；弯曲；伸展性,vi. 捐赠；面向；有弹性；气候转暖,n. (Give)人名；(意)吉韦",
memory,"n. 记忆，记忆力；内存，[计] 存储器；回忆,n. (Memory)人名；(英)梅默里",
performance,n. 性能；绩效；表演；执行；表现,
social,"adj. 社会的，社交的；群居的,n. 联谊会；联欢会",
q,"abbr. 女王，王后（Queen）,n. 字母q",
august,"adj. 威严的；令人敬畏的,n. (August) 八月（简写为Aug）,n. (August)人名；(法、葡、西、俄、罗、英、德、瑞典、挪)奥古斯特",
quote,"vt. 报价；引述；举证,vi. 报价；引用；引证,n. 引用",
language,n. 语言；语言文字；表达能力,
story,"n. 故事；小说；新闻报道；来历；假话,vt. 用历史故事画装饰,vi. 说谎,n. (Story)人名；(英)斯托里",
sell,"vt. 销售；推销；出卖；欺骗,vi. 卖；出售；受欢迎；有销路,n. 销售；失望；推销术,n. (Sell)人名；(德)泽尔；(英、芬、瑞典)塞尔",
options,"n. 选择；期权；[计] 选择项（option的复数）,v. 给予…的销售权；为…提供选择供应的附件（option的三单形式）",
experience,"n. 经验；经历；体验,vt. 经验；经历；体验",
rates,"n. 价格；[数] 比率；等级（rate的复数形式）,v. 认为，看做（rate的第三人称单数形式）；评估；给…估价,n. (Rates)人名；(西)拉特斯",
create,vt. 创造，创作；造成,
key,"n. （打字机等的）键；关键；钥匙,vt. 键入；锁上；调节…的音调；提供线索,vi. 使用钥匙,adj. 关键的,n. (Key)人名；(英)基；(德、荷、瑞典)凯",
body,"n. 身体；主体；大量；团体；主要部分,vt. 赋以形体,n. (Body)人名；(英、法、罗)博迪",
young,"adj. 年轻的；初期的；没有经验的,n. 年轻人；（动物的）崽，仔,n. (Young)人名；(中)杨(广东话·威妥玛)；(柬)永；(英、葡)扬",
important,adj. 重要的，重大的；有地位的；有权力的,
field,"n. 领域；牧场；旷野；战场；运动场,vi. 担任场外队员,adj. 扫描场；田赛的；野生的,vt. 把暴晒于场上；使上场,n. (Field)人名；(英、法、德、葡)菲尔德",
few,"adj. 很少的；几乎没有的,pron. 很少,n. 很少数,n. (Few)人名；(英)菲尤",
east,"n. 东方；东风；东方国家,adj. 东方的；向东的；从东方来的,adv. 向东方，在东方,n. (East)人名；(英)伊斯特",
paper,"n. 纸；论文；文件；报纸,adj. 纸做的,vt. 用纸糊；用纸包装,vi. 贴糊墙纸；发交通违章传票,n. (Paper)人名；(俄)帕佩尔",
single,"adj. 单一的；单身的；单程的,n. 一个；单打；单程票,vt. 选出,vi. 击出一垒安打",
age,"n. 年龄；时代；寿命，使用年限；阶段,vi. 成熟；变老,vt. 使成熟；使变老，使上年纪,n. (Age)人名；(瑞典)阿格；(日)扬 (姓)；(西、荷)阿赫",
activities,n. （activity复数形式）活动；活动区；活动性,
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花,vt. 用棍棒打；募集,vi. 集资；组成俱乐部,adj. 俱乐部的,n. (Club)人名；(英)克拉布",
example,"n. 例子；榜样,vt. 作为…的例子；为…做出榜样,vi. 举例",
additional,adj. 附加的，额外的,
password,n. 密码；口令,
z,n. 英语字母表的第二十六个字母，小写为 z,
latest,"adv. 最迟地；最后地,n. 最新的事物,adj. 最新的，最近的；最迟的，最后的",
something,"pron. 某事；某物,n. 重要的人；值得重视的事,adv. 非常；有点；大约,adj. 大约；有点象",
road,"n. 公路，马路；道路；手段,vt. （狗）沿臭迹追逐（猎物）,adj. （美）巡回的,n. (Road)人名；(英)罗德",
gift,"n. 礼物；天赋；赠品,vt. 赋予；向…赠送,n. (Gift)人名；(英)吉夫特",
question,"n. 问题，疑问；询问；疑问句,vt. 询问；怀疑；审问,vi. 询问；怀疑；审问",
changes,"n. 变化，改变（change的复数）,v. 改变；交换（change的第三人称单数形式）",
night,"n. 夜晚，晚上；黑暗，黑夜,adj. 夜晚的，夜间的",
ca,abbr. 大约，接近于（circa）,
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的,adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地,n. （Hard）人名；(英、芬、瑞典)哈德",
oct,abbr. 十月（October）,
pay,"vt. 支付，付；偿还，补偿；给予,vi. 付款；偿还,n. 工资，薪水；付款；报答,adj. 收费的；需付费的",
four,"num. 四；四个,adj. 四的；四个的,n. (Four)人名；(西)福尔；(法)富尔",
poker,"n. 拨火棍；纸牌戏；（用棍）戳的人,vt. 烙制",
status,n. 地位；状态；情形；重要身份,
browse,"vt. 浏览；吃草,vi. 浏览；吃草；漫不经心地看商品,n. 浏览；吃草；嫩草，嫩叶,n. (Browse)人名；(英)布劳斯",
issue,"n. 问题；流出；期号；发行物,vt. 发行，发布；发给；放出，排出,vi. 发行；流出；造成…结果；传下",
range,"n. 范围；幅度；排；山脉,vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到,vt. 漫游；放牧；使并列；归类于；来回走动",
building,"n. 建筑；建筑物,v. 建筑；建立；增加（build的ing形式）",
seller,"n. 卖方，售货员,n. (Seller)人名；(匈)谢勒；(西)塞列尔",
court,"n. 法院；球场；朝廷；奉承,vt. 招致（失败、危险等）；向…献殷勤；设法获得,vi. 求爱,n. (Court)人名；(英)考特；(法)库尔",
february,n. 二月,
always,adv. 永远，一直；总是；常常,
result,"n. 结果；成绩；答案；比赛结果,vi. 结果；导致；产生",
audio,adj. 声音的；[声] 音频的，[声] 声频的,
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗,adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的,vi. 点着；变亮；着火,vt. 照亮；点燃；着火,adv. 轻地；清楚地；轻便地,n. (Light)人名；(英)莱特",
write,"vi. 写，写字；写作，作曲；写信,vt. 写，书写；写信给；著述",
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争,vi. 打仗，作战；对抗",
nov,abbr. 十一月（November）,
offer,"vt. 提供；出价；试图,n. 提议；出价；意图；录取通知书,vi. 提议；出现；献祭；求婚",
blue,"n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌,adj. 蓝色的；沮丧的，忧郁的；下流的,vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于,vi. 变成蓝色，呈蓝色,n. （英、西、意）布卢（人名）",
groups,"n. 群组，组；团体（group的复数形式）；用户组,v. 分组，归类（group的第三人称单数）；聚合",
easy,"adj. 容易的；舒适的,adv. 不费力地，从容地,vi. 停止划桨,vt. 发出停划命令",
given,"adj. 赠予的；沉溺的；规定的,prep. 考虑到,v. 给予（give的过去分词）,n. (Given)人名；(英、土)吉文",
files,"n. [计] 文件；[图情][计] 文档（file的复数）,v. 提出（file的第三人称单数）；发送；汇订,n. (Files)人名；(英)法尔斯；(法)菲勒",
event,n. 事件，大事；项目；结果,
release,"vt. 释放；发射；让与；允许发表,n. 释放；发布；让与",
analysis,n. 分析；分解；验定,
request,"n. 请求；需要,vt. 要求，请求",
fax,"vt. 传真,n. 传真,n. (Fax)人名；(英、法)法克斯",
china,"n. 瓷器,adj. 瓷制的,n. China，中国,adj. China，中国的",
making,"n. 发展；制造；形成,v. 制作（make的现在分词）",
picture,"n. 照片，图画；影片；景色；化身,vt. 画；想像；描写",
needs,"adv. （只与must连用）必须地,n. 需要（need的复数）,v. 需要；必须；缺少（need的三单形式）",
possible,"adj. 可能的；合理的；合适的,n. 可能性；合适的人；可能的事物",
might,"n. 力量；威力；势力,v. 可以；或许（may的过去式）；应该,aux. 可能；也许,n. (Might)人名；(英)迈特",
professional,"adj. 专业的；职业的；职业性的,n. 专业人员；职业运动员",
yet,"adv. 还；但是；已经,conj. 但是；然而,n. (Yet)人名；(东南亚国家华语)一",
month,n. 月，一个月的时间,
major,"adj. 主要的；重要的；主修的；较多的,n. [人类] 成年人；主修科目；陆军少校,vi. 主修,n. (Major)人名；(西)马霍尔；(法)马若尔；(捷、德、塞、瑞典)马约尔；(英)梅杰",
star,"n. 星，恒星；明星；星形物,vt. 用星号标于；由…主演，由…担任主角,vi. 担任主角,adj. 明星的，主角的；星形的,n. (Star)人名；(瑞典)斯塔尔；(德)施塔尔",
areas,n. 区域，领域；面积（area的复数形式）,
future,"n. 未来；前途；期货；将来时,adj. 将来的，未来的",
space,"n. 空间；太空；距离,vi. 留间隔,vt. 隔开",
committee,n. 委员会,
hand,"n. 手，手艺；帮助；指针；插手,vt. 传递，交给；支持；搀扶,n. (Hand)人名；(英、瑞典)汉德",
sun,"n. 太阳,vt. 使晒,vi. 晒太阳,n. (Sun)人名；(中)孙(普通话·威妥玛)；(柬)孙；(缅)素；(土)松",
problems,n. [数] 问题；难题（problem的复数）,
london,n. 伦敦,
washington,n. 华盛顿（美国州名，美国城市名，美国第一任总统，姓氏）,
meeting,"n. 会议；会见；集会；汇合点,v. 会面；会合（meet的ing形式）",
become,"vi. 成为；变得；变成,vt. 适合；相称",
interest,"n. 兴趣，爱好；利息；利益；趣味；同行,vt. 使……感兴趣；引起……的关心；使……参与",
id,"n. 遗传素质；本能冲动,n. (Id)人名；(阿拉伯)埃德；(芬)[心理] 伊德",
child,"n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子,n. （英）蔡尔德（人名）",
keep,"vt. 保持；经营；遵守；饲养,vi. 保持；继续不断,n. 保持；生计；生活费,n. (Keep)人名；(英)基普",
enter,"vt. 进入；开始；参加,vi. 参加，登场；进去,n. [计] 输入；回车,n. (Enter)人名；(英)恩特",
california,n. 加利福尼亚（美国一个州）,
porn,"n. 色情描写，色情文学；黄色书刊，色情照片（等于pornography）,n. (Porn)人名；(泰、柬)蓬",
share,"vt. 分享，分担；分配,vi. 共享；分担,n. 份额；股份,n. (Share)人名；(阿拉伯)沙雷",
similar,"adj. 相似的,n. 类似物",
garden,"n. 花园；菜园,vt. 栽培花木,vi. 从事园艺；在园中种植,n. (Garden)人名；(英、意、巴基)加登",
million,"n. 百万；无数,adj. 百万的；无数的,num. 百万,n. (Million)人名；(法、罗、埃塞)米利翁",
added,"adj. 更多的；额外的,v. 增加（add的过去分词）",
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书,vi. 引用,vt. 引用",
companies,"n. 公司，企业；伙伴（company的复数形式）；公司财产,v. 陪伴，伴随（company的三单形式）",
listed,"adj. 列出的；表列的；已登录的,v. 列出；登记（list的过去分词）",
baby,"n. 婴儿，婴孩；孩子气的人,vt. 纵容，娇纵；把……当婴儿般对待,adj. 婴儿的；幼小的,n. (Baby)人名；(法、葡)巴比；(英)巴比，芭比(女名)；(俄)巴贝",
learning,"n. 学习；学问,v. 学习（learn的现在分词）",
energy,n. [物] 能量；精力；活力；精神,
run,"vi. 经营；奔跑；运转,vt. 管理，经营；运行；参赛,n. 奔跑；赛跑；趋向；奔跑的路程,n. (Run)人名；(塞)鲁恩",
delivery,n. [贸易] 交付；分娩；递送,
net,"n. 网；网络；净利；实价,vi. 编网,vt. 得到；净赚；用网捕,adj. 纯粹的；净余的,n. (Net)人名；(法)内",
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的,
term,"n. 术语；学期；期限；条款；(代数式等的)项,vt. 把…叫做,n. (Term)人名；(泰)丁",
film,"n. 电影；薄膜；胶卷；轻烟,vt. 在…上覆以薄膜；把…拍成电影,vi. 摄制电影；生薄膜；变得朦胧",
stories,n. 故事（story的复数）,
put,"vt. 放；表达；移动；安置；赋予,vi. 出发；击；航行；发芽,n. 掷；笨蛋；投击；怪人,adj. 固定不动的,n. (Put)人名；(泰、缅)布",
journal,n. 日报，杂志；日记；分类账,
reports,"n. 报告（report的复数）；[统计][计] 报表；专题,v. 报告；记录（report的三单形式）；传达",
co,"abbr. 一氧化碳（carbon monoxide）；哥伦比亚（Colombia）；现付票（Cash Order）；货源证书（Certificate of Origin）,n. (Co)人名；(中)措(藏语·汉语拼音)",
try,"vt. 试图，努力；试验；审判；考验,vi. 尝试；努力；试验,n. 尝试；努力；试验,n. (Try)人名；(英、印尼)特里；(柬)德里",
welcome,"adj. 受欢迎的,n. 欢迎,vt. 欢迎,int. 欢迎,n. (Welcome)人名；(英)韦尔科姆",
central,"adj. 中心的；主要的；中枢的,n. 电话总机",
president,n. 总统；董事长；校长；主席,
notice,"n. 通知，布告；注意；公告,vt. 通知；注意到；留心,vi. 引起注意",
god,"n. 神；（大写首字母时）上帝,vt. 膜拜，崇拜,n. (God)人名；(索、阿拉伯)古德",
original,"n. 原件；原作；原物；原型,adj. 原始的；最初的；独创的；新颖的",
head,"n. 头；头痛；上端；最前的部分；理解力,vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题,vi. 出发；成头状物；船驶往,adj. 头的；主要的；在顶端的,n. (Head)人名；(英)黑德",
radio,"n. 收音机；无线电广播设备,vi. 用无线电进行通信,vt. 用无线电发送,n. (Radio)人名；(西)拉迪奥",
until,"conj. 在…以前；直到…时,prep. 在…以前；到…为止",
cell,"n. 细胞；电池；蜂房的巢室；单人小室,vi. 住在牢房或小室中,n. (Cell)人名；(英)塞尔",
color,"n. 颜色；肤色；颜料；脸色,vt. 粉饰；给...涂颜色；歪曲,vi. 变色；获得颜色",
self,"n. 自己，自我；本质；私心,adj. 同一的,vt. 使自花授精；使近亲繁殖,vi. 自花授精,n. (Self)人名；(英)塞尔夫",
council,"n. 委员会；会议；理事会；地方议会；顾问班子,n. (Council)人名；(英)康斯尔",
away,adv. 离去，离开；在远处,
includes,v. 包含；包住（include的三单形式）,
track,"n. 轨道；足迹，踪迹；小道,vt. 追踪；通过；循路而行；用纤拉,vi. 追踪；走；留下足迹",
australia,n. 澳大利亚，澳洲,
discussion,n. 讨论，议论,
archive,"n. 档案馆；档案文件,vt. 把…存档",
once,"adv. 一次；曾经,conj. 一旦,n. 一次，一回",
others,pron. 其他人,
entertainment,n. 娱乐；消遣；款待,
agreement,n. 协议；同意，一致,
format,"n. 格式；版式；开本,vt. 使格式化；规定…的格式,vi. 设计版式",
least,"adj. 最小的；最少的（little的最高级）,adv. 最小；最少,n. 最小；最少",
society,n. 社会；交往；社团；社交界,
months,月份（month的复数）,
log,"vi. 伐木,vt. 切；伐木；航行,n. 记录；航行日志；原木",
safety,n. 安全；保险；安全设备；保险装置；安打,
friends,n. 朋友( friend的名词复数 ),
sure,"adj. 确信的；可靠的；必定的,adv. 当然；的确,n. (Sure)人名；(英)休尔",
trade,"n. 贸易，交易；行业；职业,vi. 交易，买卖；以物易物,vt. 用…进行交换",
edition,"n. 版本,版次,集",
marketing,"n. 行销，销售,v. 出售；在市场上进行交易；使…上市（market的ing形式）",
tell,"vt. 告诉，说；辨别；吩咐；断定,vi. 讲述；告发，泄密；识别,n. (Tell)人名；(英、德、瑞典)特尔；(罗、意)泰尔；(阿拉伯)塔勒",
further,"adv. 进一步地；而且；更远地,adj. 更远的；深一层的,vt. 促进，助长；增进",
updated,"adj. 更新的；现代化的,v. 更新（update的过去式）",
association,n. 协会，联盟，社团；联合；联想,
able,"adj. 能；[经管] 有能力的；能干的,n. (Able)人名；(伊朗)阿布勒；(英)埃布尔",
having,"n. 所有；持有；占有,adj. 具有的；所有的,v. 有（have的ing形式）",
david,n. 大卫；戴维（男子名）,
fun,"n. 乐趣；玩笑；有趣的人或事,adj. 供娱乐用的,vi. 开玩笑",
already,adv. 已经，早已；先前,
green,"adj. 绿色的；青春的,n. 绿色；青春,vt. 使…变绿色,vi. 变绿色,n. (Green)人名；(英、意)格林；(瑞典、芬)格伦",
studies,"n. 研究；学习；学业（study的复数）,v. 学习（study的第三人称单数形式）",
close,"adj. 紧密的；亲密的；亲近的,vt. 关；结束；使靠近,vi. 关；结束；关闭,adv. 紧密地,n. 结束,n. (Close)人名；(西)克洛塞；(英、法)克洛斯",
common,"adj. 共同的；普通的；一般的；通常的,n. 普通；平民；公有地,n. (Common)人名；(法)科蒙；(英)康芒",
drive,"vi. 开车；猛击；飞跑,vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶,n. 驱动器；驾车；[心理] 内驱力，推进力；快车道",
specific,"adj. 特殊的，特定的；明确的；详细的；[药] 具有特效的,n. 特性；细节；特效药",
several,"adj. 几个的；各自的,pron. 几个；数个",
gold,"n. 金，黄金；金色；金币,adj. 金的，金制的；金色的,n. (Gold)人名；(英、法、德、西、罗、捷、瑞典)戈尔德",
living,"adj. 活的；现存的；活跃的；逼真的,n. 生活；生存；生计,v. 生活；居住（live的ing形式）；度过,n. (Living)人名；(英)利文",
sep,abbr. 九月（September）,
collection,n. 采集，聚集；[税收] 征收；收藏品；募捐,
called,"adj. 被呼叫的,v. 打电话、称呼（call的过去式）；[通信] 呼叫；访问",
short,"adj. 短的；不足的；矮的，低的,n. 短；缺乏；短路；短裤,adv. 不足；突然；唐突地,n. (Short)人名；(英)肖特",
arts,n. 文科,
lot,"n. 份额；许多；命运；阄,adv. （与形容词和副词连用）很，非常；（与动词连用）非常,pron. 大量，许多,vt. 分组，把…划分（常与out连用）；把（土地）划分成块,vi. 抽签，拈阄",
ask,"vt. 问，询问；要求；需要；邀请；讨价,vi. 问，询问；要求,n. (Ask)人名；(芬、瑞典)阿斯克",
display,"n. 显示；炫耀,vt. 显示；表现；陈列,vi. [动] 作炫耀行为,adj. 展览的；陈列用的",
limited,"adj. 有限的,n. 高级快车",
solutions,"n. 解决方案；应对措施；溶液剂（solution的复数）,v. 使粘接（solution的三单形式）；把溶液涂在…上",
means,"n. 手段；方法；财产,v. 意思是；打算（mean的第三人称单数） [ 复数means ]",
director,"n. 主任，主管；导演；人事助理,n. (Director)人名；(英)迪雷克托",
daily,"adj. 日常的；每日的,n. 日报；朝来夜去的女佣,adv. 日常地；每日；天天,n. (Daily)人名；(英)戴利",
beach,"n. 海滩；湖滨,vt. 将…拖上岸,vi. 搁浅；定居,n. (Beach)人名；(英)比奇",
past,"n. 过去；往事,adj. 过去的；结束的,prep. 越过；晚于,adv. 过；经过",
natural,"adj. 自然的；物质的；天生的；不做作的,n. 自然的事情；白痴；本位音,n. (Natural)人名；(西)纳图拉尔",
whether,"conj. 是否；不论,pron. 两个中的哪一个",
due,"adj. 到期的；预期的；应付的；应得的,n. 应付款；应得之物,adv. 正（置于方位词前）,n. (Due)人名；(英)迪尤",
et,conj. （拉丁语）和（等于and）,
electronics,n. 电子学；电子工业,
five,"n. 五，五个；五美元钞票,num. 五，五个,adj. 五的；五个的,n. (Five)人名；(挪)菲弗",
upon,prep. 根据；接近；在…之上,
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号,adj. 某一时代的",
planning,"n. 规划；计划编制,v. 计划；设计；预期（plan的ing形式）",
database,n. 数据库，资料库,
says,v. 说（第三人称单数）,
official,"adj. 官方的；正式的；公务的,n. 官员；公务员；高级职员",
weather,"n. 天气；气象；气候；处境,vt. 经受住；使风化；侵蚀；使受风吹雨打,vi. 风化；受侵蚀；经受风雨,adj. 露天的；迎风的,n. (Weather)人名；(英)韦瑟",
mar,"vt. 损毁；损伤；糟蹋；玷污,n. 污点；瑕疵,n. (Mar)人名；(英、俄、以、葡、塞内)马尔",
land,"n. 国土；陆地；地面,vt. 使…登陆；使…陷于；将…卸下,vi. 登陆；到达,n. (Land)人名；(英、德、葡、瑞典)兰德",
average,"n. 平均；平均数；海损,adj. 平均的；普通的；通常的,vt. 算出…的平均数；将…平均分配；使…平衡,vi. 平均为；呈中间色",
done,"adj. 已完成的；做好了的；煮熟的；合乎礼仪的；合乎规矩,int. 表示接受建议,v. 做（do的过去分词）,n. （西、罗）多内（人名）；（英）多恩（人名）",
technical,adj. 工艺的，科技的；技术上的；专门的,
window,n. 窗；窗口；窗户,
france,n. 法国；法郎士（姓氏）,
pro,"adv. 赞成地,n. 赞成者；赞成的意见,prep. 赞成,n. (Pro)人名；(意)普罗",
region,n. 地区；范围；部位,
island,"n. 岛；岛屿；安全岛；岛状物,adj. 岛的,vt. 孤立；使成岛状,n. (Island)人名；(英)艾兰",
